tconst,genres
tt0083996,Comedy
tt0083996,Crime
tt0084006,Drama
tt0084006,Thriller
tt0084019,Crime
tt0084021,Comedy
tt0084021,Music
tt0084021,Musical
tt0084037,Documentary
tt0084037,History
tt0084052,Drama
tt0084052,Western
tt0084058,Drama
tt0084058,Romance
tt0084078,Mystery
tt0084085,Crime
tt0084085,Drama
tt0084085,Romance
tt0084089,Drama
tt0084089,War
tt0084096,Drama
tt0084096,Horror
tt0084096,Drama
tt0084096,Horror
tt0084109,Comedy
tt0084109,Drama
tt0084112,Crime
tt0084112,Drama
tt0084112,Mystery
tt0084132,Drama
tt0084132,History
tt0084132,War
tt0084135,Crime
tt0084135,Thriller
tt0084143,Crime
tt0084143,Drama
tt0084143,Crime
tt0084143,Drama
tt0084149,Drama
tt0084149,Fantasy
tt0084149,Musical
tt0084158,Drama
tt0084158,Romance
tt0084158,Thriller
tt0084165,Comedy
tt0084171,Comedy
tt0084171,Music
tt0084171,Sci-Fi
tt0084176,Drama
tt0084184,Action
tt0084184,Comedy
tt0084184,Crime
tt0084210,Comedy
tt0084210,Fantasy
tt0084210,Romance
tt0084234,Comedy
tt0084234,Drama
tt0084234,Romance
tt0084237,Adventure
tt0084237,Animation
tt0084237,Drama
tt0084242,Documentary
tt0084242,Music
tt0084259,Comedy
tt0084259,Romance
tt0084274,Drama
tt0084274,Romance
tt0084281,Action
tt0084281,Crime
tt0084281,Drama
tt0084296,Adventure
tt0084296,Drama
tt0084296,Romance
tt0084315,Adventure
tt0084315,Animation
tt0084315,Sci-Fi
tt0084329,Comedy
tt0084340,Drama
tt0084345,Drama
tt0084351,Crime
tt0084351,Drama
tt0084351,War
tt0084352,Comedy
tt0084352,Documentary
tt0084352,Musical
tt0084358,Crime
tt0084358,Mystery
tt0084358,Romance
tt0084359,Adventure
tt0084359,Drama
tt0084359,Mystery
tt0084361,Documentary
tt0084361,Documentary
tt0084370,Comedy
tt0084370,Drama
tt0084395,Comedy
tt0084395,Horror
tt0084408,Horror
tt0084408,Mystery
tt0084408,Horror
tt0084408,Mystery
tt0084412,Comedy
tt0084423,Drama
tt0084423,History
tt0084423,Drama
tt0084423,History
tt0084425,Drama
tt0084425,Music
tt0084434,Drama
tt0084434,Romance
tt0084445,Drama
tt0084445,Musical
tt0084445,Romance
tt0084460,Drama
tt0084461,Documentary
tt0084468,Comedy
tt0084468,Drama
tt0084468,Sci-Fi
tt0084479,Drama
tt0084485,Crime
tt0084485,Drama
tt0084485,Sport
tt0084485,Crime
tt0084485,Drama
tt0084485,Sport
tt0084488,Comedy
tt0084488,Drama
